"Step","w1-baseline-fast - completion_len/max","w1-baseline-fast - completion_len/max__MIN","w1-baseline-fast - completion_len/max__MAX","w1-alpha64-baseline - completion_len/max","w1-alpha64-baseline - completion_len/max__MIN","w1-alpha64-baseline - completion_len/max__MAX","w1-alpha32-baseline - completion_len/max","w1-alpha32-baseline - completion_len/max__MIN","w1-alpha32-baseline - completion_len/max__MAX","w1-alpha128-baseline - completion_len/max","w1-alpha128-baseline - completion_len/max__MIN","w1-alpha128-baseline - completion_len/max__MAX","w1-alpha64-lr1e-5 - completion_len/max","w1-alpha64-lr1e-5 - completion_len/max__MIN","w1-alpha64-lr1e-5 - completion_len/max__MAX","w1-alpha64-lr3e-6 - completion_len/max","w1-alpha64-lr3e-6 - completion_len/max__MIN","w1-alpha64-lr3e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/max","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MAX","w1-alpha64-lr5e-6 - completion_len/max","w1-alpha64-lr5e-6 - completion_len/max__MIN","w1-alpha64-lr5e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MAX"
"1","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","507.125","507.125","507.125","512.0","512.0","512.0","2048.0","2048.0","2048.0","1015.0","1015.0","1015.0","961.625","961.625","961.625","1066.75","1066.75","1066.75"
"2","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","499.875","499.875","499.875","512.0","512.0","512.0","1368.5","1368.5","1368.5","1024.0","1024.0","1024.0","1682.25","1682.25","1682.25","1887.5","1887.5","1887.5"
"3","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","478.0","478.0","478.0","512.0","512.0","512.0","1575.75","1575.75","1575.75","947.375","947.375","947.375","1608.5","1608.5","1608.5","1793.0","1793.0","1793.0"
"4","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","1456.375","1456.375","1456.375","933.0","933.0","933.0","1248.875","1248.875","1248.875","1541.0","1541.0","1541.0"
"5","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","506.0625","506.0625","506.0625","512.0","512.0","512.0","1608.625","1608.625","1608.625","976.875","976.875","976.875","1496.5","1496.5","1496.5","2048.0","2048.0","2048.0"
"6","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","1826.375","1826.375","1826.375","1003.625","1003.625","1003.625","1194.5","1194.5","1194.5","1804.5","1804.5","1804.5"
"7","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","484.125","484.125","484.125","512.0","512.0","512.0","500.125","500.125","500.125","512.0","512.0","512.0","1254.0","1254.0","1254.0","1024.0","1024.0","1024.0","1624.625","1624.625","1624.625","1689.0","1689.0","1689.0"
"8","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","509.0","509.0","509.0","512.0","512.0","512.0","1524.375","1524.375","1524.375","984.375","984.375","984.375","1616.125","1616.125","1616.125","1953.5","1953.5","1953.5"
"9","511.125","511.125","511.125","512.0","512.0","512.0","512.0","512.0","512.0","507.625","507.625","507.625","495.25","495.25","495.25","512.0","512.0","512.0","459.8125","459.8125","459.8125","492.75","492.75","492.75","1944.0","1944.0","1944.0","1000.0","1000.0","1000.0","1318.25","1318.25","1318.25","1524.5","1524.5","1524.5"
"10","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","456.125","456.125","456.125","502.5","502.5","502.5","464.875","464.875","464.875","512.0","512.0","512.0","1500.125","1500.125","1500.125","889.125","889.125","889.125","1387.75","1387.75","1387.75","1376.25","1376.25","1376.25"
"11","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","493.0","493.0","493.0","496.5","496.5","496.5","382.125","382.125","382.125","490.125","490.125","490.125","1958.0","1958.0","1958.0","878.125","878.125","878.125","1785.0","1785.0","1785.0","1627.5","1627.5","1627.5"
"12","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","420.0","420.0","420.0","478.75","478.75","478.75","379.5625","379.5625","379.5625","492.5","492.5","492.5","1376.75","1376.75","1376.75","990.0","990.0","990.0","1484.625","1484.625","1484.625","1751.5","1751.5","1751.5"
"13","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","494.125","494.125","494.125","442.125","442.125","442.125","512.0","512.0","512.0","512.0","512.0","512.0","1987.375","1987.375","1987.375","949.25","949.25","949.25","1760.25","1760.25","1760.25","1687.0","1687.0","1687.0"
"14","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","487.5","487.5","487.5","507.875","507.875","507.875","512.0","512.0","512.0","1373.0","1373.0","1373.0","958.125","958.125","958.125","1350.375","1350.375","1350.375","1493.25","1493.25","1493.25"
"15","512.0","512.0","512.0","492.375","492.375","492.375","512.0","512.0","512.0","496.5","496.5","496.5","477.125","477.125","477.125","503.75","503.75","503.75","495.9375","495.9375","495.9375","478.125","478.125","478.125","1659.5","1659.5","1659.5","574.75","574.75","574.75","1753.75","1753.75","1753.75","1576.0","1576.0","1576.0"
"16","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","484.875","484.875","484.875","390.375","390.375","390.375","512.0","512.0","512.0","351.9375","351.9375","351.9375","490.875","490.875","490.875","1369.375","1369.375","1369.375","761.75","761.75","761.75","2000.75","2000.75","2000.75","2015.75","2015.75","2015.75"
"17","511.5","511.5","511.5","485.5","485.5","485.5","512.0","512.0","512.0","490.375","490.375","490.375","401.625","401.625","401.625","512.0","512.0","512.0","497.625","497.625","497.625","509.625","509.625","509.625","1829.125","1829.125","1829.125","1024.0","1024.0","1024.0","1359.0","1359.0","1359.0","2048.0","2048.0","2048.0"
"18","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","490.125","490.125","490.125","397.75","397.75","397.75","427.25","427.25","427.25","384.75","384.75","384.75","432.875","432.875","432.875","1285.375","1285.375","1285.375","757.75","757.75","757.75","1455.5","1455.5","1455.5","2048.0","2048.0","2048.0"
"19","512.0","512.0","512.0","500.75","500.75","500.75","512.0","512.0","512.0","487.25","487.25","487.25","478.875","478.875","478.875","512.0","512.0","512.0","483.4375","483.4375","483.4375","478.25","478.25","478.25","1102.375","1102.375","1102.375","597.5","597.5","597.5","1812.125","1812.125","1812.125","2036.25","2036.25","2036.25"
"20","512.0","512.0","512.0","472.0","472.0","472.0","512.0","512.0","512.0","512.0","512.0","512.0","380.875","380.875","380.875","390.625","390.625","390.625","489.75","489.75","489.75","512.0","512.0","512.0","1466.125","1466.125","1466.125","717.5","717.5","717.5","1423.75","1423.75","1423.75","1756.75","1756.75","1756.75"
"21","512.0","512.0","512.0","512.0","512.0","512.0","506.5","506.5","506.5","489.25","489.25","489.25","261.375","261.375","261.375","467.375","467.375","467.375","361.5","361.5","361.5","430.5","430.5","430.5","1983.375","1983.375","1983.375","942.375","942.375","942.375","1802.625","1802.625","1802.625","1953.0","1953.0","1953.0"
"22","512.0","512.0","512.0","496.125","496.125","496.125","512.0","512.0","512.0","492.75","492.75","492.75","276.125","276.125","276.125","489.125","489.125","489.125","420.3125","420.3125","420.3125","512.0","512.0","512.0","1293.5","1293.5","1293.5","569.0","569.0","569.0","1562.375","1562.375","1562.375","2048.0","2048.0","2048.0"
"23","512.0","512.0","512.0","487.375","487.375","487.375","512.0","512.0","512.0","469.5","469.5","469.5","339.875","339.875","339.875","408.5","408.5","408.5","412.125","412.125","412.125","414.125","414.125","414.125","1394.375","1394.375","1394.375","841.25","841.25","841.25","1080.75","1080.75","1080.75","1737.0","1737.0","1737.0"
"24","512.0","512.0","512.0","512.0","512.0","512.0","502.0","502.0","502.0","512.0","512.0","512.0","381.0","381.0","381.0","500.25","500.25","500.25","350.0625","350.0625","350.0625","404.125","404.125","404.125","1769.75","1769.75","1769.75","830.125","830.125","830.125","1190.75","1190.75","1190.75","1543.0","1543.0","1543.0"
