"Step","w1-baseline-fast - completion_len/mean","w1-baseline-fast - completion_len/mean__MIN","w1-baseline-fast - completion_len/mean__MAX","w1-alpha64-baseline - completion_len/mean","w1-alpha64-baseline - completion_len/mean__MIN","w1-alpha64-baseline - completion_len/mean__MAX","w1-alpha32-baseline - completion_len/mean","w1-alpha32-baseline - completion_len/mean__MIN","w1-alpha32-baseline - completion_len/mean__MAX","w1-alpha128-baseline - completion_len/mean","w1-alpha128-baseline - completion_len/mean__MIN","w1-alpha128-baseline - completion_len/mean__MAX","w1-alpha64-lr1e-5 - completion_len/mean","w1-alpha64-lr1e-5 - completion_len/mean__MIN","w1-alpha64-lr1e-5 - completion_len/mean__MAX","w1-alpha64-lr3e-6 - completion_len/mean","w1-alpha64-lr3e-6 - completion_len/mean__MIN","w1-alpha64-lr3e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MAX","w1-alpha64-lr5e-6 - completion_len/mean","w1-alpha64-lr5e-6 - completion_len/mean__MIN","w1-alpha64-lr5e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MAX"
"1","474.1484375","474.1484375","474.1484375","465.875","465.875","465.875","477.4765625","477.4765625","477.4765625","472.6875","472.6875","472.6875","479.984375","479.984375","479.984375","483.4453125","483.4453125","483.4453125","492.96875","492.96875","492.96875","478.765625","478.765625","478.765625","829.9208333333333","829.9208333333333","829.9208333333333","705.125","705.125","705.125","603.53125","603.53125","603.53125","588.625","588.625","588.625"
"2","495.5234375","495.5234375","495.5234375","490.15625","490.15625","490.15625","483.875","483.875","483.875","481.3125","481.3125","481.3125","486.5390625","486.5390625","486.5390625","484.5546875","484.5546875","484.5546875","468.609375","468.609375","468.609375","487.5083333333333","487.5083333333333","487.5083333333333","770.5","770.5","770.5","750.90625","750.90625","750.90625","856.9375","856.9375","856.9375","822.7421875","822.7421875","822.7421875"
"3","479.453125","479.453125","479.453125","487.53125","487.53125","487.53125","459.0234375","459.0234375","459.0234375","482.171875","482.171875","482.171875","491.4296875","491.4296875","491.4296875","474.140625","474.140625","474.140625","465.015625","465.015625","465.015625","491.7421875","491.7421875","491.7421875","828.53125","828.53125","828.53125","651.6328125","651.6328125","651.6328125","762.296875","762.296875","762.296875","851.1484375","851.1484375","851.1484375"
"4","484.640625","484.640625","484.640625","486.37083333333334","486.37083333333334","486.37083333333334","470.0078125","470.0078125","470.0078125","471.5703125","471.5703125","471.5703125","474.203125","474.203125","474.203125","478.984375","478.984375","478.984375","472.625","472.625","472.625","482.5","482.5","482.5","768.2578125","768.2578125","768.2578125","722.6640625","722.6640625","722.6640625","787.3828125","787.3828125","787.3828125","754.7109375","754.7109375","754.7109375"
"5","465.1328125","465.1328125","465.1328125","477.609375","477.609375","477.609375","488.6484375","488.6484375","488.6484375","489.9140625","489.9140625","489.9140625","470.8203125","470.8203125","470.8203125","467.7265625","467.7265625","467.7265625","494.484375","494.484375","494.484375","476.65625","476.65625","476.65625","785.9375","785.9375","785.9375","665.825","665.825","665.825","808.515625","808.515625","808.515625","802.25","802.25","802.25"
"6","486.34375","486.34375","486.34375","485.625","485.625","485.625","481.5390625","481.5390625","481.5390625","475.21875","475.21875","475.21875","467.078125","467.078125","467.078125","482.46875","482.46875","482.46875","455.921875","455.921875","455.921875","466.90625","466.90625","466.90625","1019.234375","1019.234375","1019.234375","723.6796875","723.6796875","723.6796875","935.3828125","935.3828125","935.3828125","935.609375","935.609375","935.609375"
"7","474.390625","474.390625","474.390625","480.3203125","480.3203125","480.3203125","473.359375","473.359375","473.359375","483.8515625","483.8515625","483.8515625","397.0546875","397.0546875","397.0546875","477.4140625","477.4140625","477.4140625","456.109375","456.109375","456.109375","468.0078125","468.0078125","468.0078125","825.421875","825.421875","825.421875","676.421875","676.421875","676.421875","807.6875","807.6875","807.6875","809.5234375","809.5234375","809.5234375"
"8","482.6328125","482.6328125","482.6328125","478.2421875","478.2421875","478.2421875","474.5390625","474.5390625","474.5390625","481.0390625","481.0390625","481.0390625","397.65625","397.65625","397.65625","450.4453125","450.4453125","450.4453125","437.46875","437.46875","437.46875","414.25","414.25","414.25","930.25","930.25","930.25","751.703125","751.703125","751.703125","778.8515625","778.8515625","778.8515625","874.0546875","874.0546875","874.0546875"
"9","471.4166666666667","471.4166666666667","471.4166666666667","482.65625","482.65625","482.65625","487.5546875","487.5546875","487.5546875","472.4458333333333","472.4458333333333","472.4458333333333","348.9609375","348.9609375","348.9609375","414.7734375","414.7734375","414.7734375","394.71875","394.71875","394.71875","424.734375","424.734375","424.734375","774.40625","774.40625","774.40625","684.9921875","684.9921875","684.9921875","738.7421875","738.7421875","738.7421875","814.5","814.5","814.5"
"10","482.9375","482.9375","482.9375","466.3515625","466.3515625","466.3515625","472.0625","472.0625","472.0625","437.890625","437.890625","437.890625","336.9921875","336.9921875","336.9921875","422.51785714285717","422.51785714285717","422.51785714285717","389.09375","389.09375","389.09375","409.0625","409.0625","409.0625","814.8515625","814.8515625","814.8515625","643.203125","643.203125","643.203125","759.90625","759.90625","759.90625","776.15625","776.15625","776.15625"
