"Step","w1-baseline-fast - completion_len/min","w1-baseline-fast - completion_len/min__MIN","w1-baseline-fast - completion_len/min__MAX","w1-alpha64-baseline - completion_len/min","w1-alpha64-baseline - completion_len/min__MIN","w1-alpha64-baseline - completion_len/min__MAX","w1-alpha32-baseline - completion_len/min","w1-alpha32-baseline - completion_len/min__MIN","w1-alpha32-baseline - completion_len/min__MAX","w1-alpha128-baseline - completion_len/min","w1-alpha128-baseline - completion_len/min__MIN","w1-alpha128-baseline - completion_len/min__MAX","w1-alpha64-lr1e-5 - completion_len/min","w1-alpha64-lr1e-5 - completion_len/min__MIN","w1-alpha64-lr1e-5 - completion_len/min__MAX","w1-alpha64-lr3e-6 - completion_len/min","w1-alpha64-lr3e-6 - completion_len/min__MIN","w1-alpha64-lr3e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/min","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MAX","w1-alpha64-lr5e-6 - completion_len/min","w1-alpha64-lr5e-6 - completion_len/min__MIN","w1-alpha64-lr5e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MAX"
"1","402.0","402.0","402.0","359.375","359.375","359.375","349.0","349.0","349.0","402.125","402.125","402.125","411.875","411.875","411.875","394.75","394.75","394.75","466.0625","466.0625","466.0625","389.5","389.5","389.5","529.875","529.875","529.875","463.375","463.375","463.375","381.125","381.125","381.125","397.5","397.5","397.5"
"2","452.875","452.875","452.875","450.625","450.625","450.625","392.375","392.375","392.375","411.125","411.125","411.125","404.5","404.5","404.5","417.375","417.375","417.375","429.875","429.875","429.875","438.125","438.125","438.125","449.75","449.75","449.75","395.875","395.875","395.875","458.875","458.875","458.875","362.75","362.75","362.75"
"3","398.5","398.5","398.5","420.125","420.125","420.125","388.75","388.75","388.75","445.0","445.0","445.0","449.25","449.25","449.25","417.0","417.0","417.0","447.125","447.125","447.125","443.375","443.375","443.375","450.5","450.5","450.5","456.25","456.25","456.25","439.5","439.5","439.5","341.0","341.0","341.0"
"4","410.75","410.75","410.75","433.5","433.5","433.5","396.25","396.25","396.25","392.375","392.375","392.375","349.875","349.875","349.875","436.125","436.125","436.125","394.8125","394.8125","394.8125","451.625","451.625","451.625","461.125","461.125","461.125","505.0","505.0","505.0","347.875","347.875","347.875","356.5","356.5","356.5"
"5","381.125","381.125","381.125","424.5","424.5","424.5","414.125","414.125","414.125","429.875","429.875","429.875","410.75","410.75","410.75","417.25","417.25","417.25","481.75","481.75","481.75","410.125","410.125","410.125","509.625","509.625","509.625","341.75","341.75","341.75","373.625","373.625","373.625","421.75","421.75","421.75"
"6","426.875","426.875","426.875","424.5","424.5","424.5","380.0","380.0","380.0","407.75","407.75","407.75","398.125","398.125","398.125","416.375","416.375","416.375","408.8125","408.8125","408.8125","370.875","370.875","370.875","454.875","454.875","454.875","494.625","494.625","494.625","646.875","646.875","646.875","422.75","422.75","422.75"
"7","366.125","366.125","366.125","398.625","398.625","398.625","382.875","382.875","382.875","426.125","426.125","426.125","301.375","301.375","301.375","408.75","408.75","408.75","397.4375","397.4375","397.4375","359.375","359.375","359.375","478.0","478.0","478.0","434.5","434.5","434.5","362.5","362.5","362.5","420.5","420.5","420.5"
"8","407.125","407.125","407.125","396.375","396.375","396.375","401.25","401.25","401.25","439.25","439.25","439.25","263.375","263.375","263.375","381.75","381.75","381.75","357.0625","357.0625","357.0625","305.875","305.875","305.875","490.75","490.75","490.75","519.5","519.5","519.5","325.5","325.5","325.5","351.0","351.0","351.0"
"9","421.75","421.75","421.75","416.5","416.5","416.5","448.0","448.0","448.0","420.625","420.625","420.625","259.75","259.75","259.75","341.125","341.125","341.125","347.6875","347.6875","347.6875","341.25","341.25","341.25","415.5","415.5","415.5","545.375","545.375","545.375","446.625","446.625","446.625","362.0","362.0","362.0"
"10","394.0","394.0","394.0","370.125","370.125","370.125","382.125","382.125","382.125","298.0","298.0","298.0","234.375","234.375","234.375","307.25","307.25","307.25","340.9375","340.9375","340.9375","301.0","301.0","301.0","517.375","517.375","517.375","369.875","369.875","369.875","468.5","468.5","468.5","287.5","287.5","287.5"
