"Step","w1-baseline-fast - metrics/format_reward","w1-baseline-fast - metrics/format_reward__MIN","w1-baseline-fast - metrics/format_reward__MAX","w1-alpha64-baseline - metrics/format_reward","w1-alpha64-baseline - metrics/format_reward__MIN","w1-alpha64-baseline - metrics/format_reward__MAX","w1-alpha32-baseline - metrics/format_reward","w1-alpha32-baseline - metrics/format_reward__MIN","w1-alpha32-baseline - metrics/format_reward__MAX","w1-alpha128-baseline - metrics/format_reward","w1-alpha128-baseline - metrics/format_reward__MIN","w1-alpha128-baseline - metrics/format_reward__MAX","w1-alpha64-lr1e-5 - metrics/format_reward","w1-alpha64-lr1e-5 - metrics/format_reward__MIN","w1-alpha64-lr1e-5 - metrics/format_reward__MAX","w1-alpha64-lr3e-6 - metrics/format_reward","w1-alpha64-lr3e-6 - metrics/format_reward__MIN","w1-alpha64-lr3e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MAX","w1-alpha64-lr5e-6 - metrics/format_reward","w1-alpha64-lr5e-6 - metrics/format_reward__MIN","w1-alpha64-lr5e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MAX"
"1","0.328125","0.328125","0.328125","0.3671875","0.3671875","0.3671875","0.3203125","0.3203125","0.3203125","0.3046875","0.3046875","0.3046875","0.3125","0.3125","0.3125","0.2890625","0.2890625","0.2890625","0.328125","0.328125","0.328125","0.265625","0.265625","0.265625","0.921875","0.921875","0.921875","0.7421875","0.7421875","0.7421875","0.9375","0.9375","0.9375","1.0","1.0","1.0"
"2","0.25","0.25","0.25","0.2265625","0.2265625","0.2265625","0.3359375","0.3359375","0.3359375","0.4140625","0.4140625","0.4140625","0.2578125","0.2578125","0.2578125","0.34375","0.34375","0.34375","0.375","0.375","0.375","0.2421875","0.2421875","0.2421875","0.9609375","0.9609375","0.9609375","0.6484375","0.6484375","0.6484375","0.953125","0.953125","0.953125","0.921875","0.921875","0.921875"
"3","0.3359375","0.3359375","0.3359375","0.2890625","0.2890625","0.2890625","0.4765625","0.4765625","0.4765625","0.34375","0.34375","0.34375","0.1875","0.1875","0.1875","0.34375","0.34375","0.34375","0.46875","0.46875","0.46875","0.2734375","0.2734375","0.2734375","0.921875","0.921875","0.921875","0.875","0.875","0.875","0.9765625","0.9765625","0.9765625","0.9296875","0.9296875","0.9296875"
"4","0.265625","0.265625","0.265625","0.2890625","0.2890625","0.2890625","0.3671875","0.3671875","0.3671875","0.375","0.375","0.375","0.40625","0.40625","0.40625","0.34375","0.34375","0.34375","0.234375","0.234375","0.234375","0.3203125","0.3203125","0.3203125","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.96875","0.96875","0.96875","0.9453125","0.9453125","0.9453125"
"5","0.390625","0.390625","0.390625","0.3359375","0.3359375","0.3359375","0.2421875","0.2421875","0.2421875","0.3046875","0.3046875","0.3046875","0.3671875","0.3671875","0.3671875","0.3515625","0.3515625","0.3515625","0.171875","0.171875","0.171875","0.3359375","0.3359375","0.3359375","0.9765625","0.9765625","0.9765625","0.7890625","0.7890625","0.7890625","0.9765625","0.9765625","0.9765625","0.9453125","0.9453125","0.9453125"
"6","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125","0.234375","0.234375","0.234375","0.3828125","0.3828125","0.3828125","0.4140625","0.4140625","0.4140625","0.25","0.25","0.25","0.328125","0.328125","0.328125","0.3671875","0.3671875","0.3671875","0.9140625","0.9140625","0.9140625","0.78125","0.78125","0.78125","0.9296875","0.9296875","0.9296875","0.8984375","0.8984375","0.8984375"
"7","0.375","0.375","0.375","0.359375","0.359375","0.359375","0.390625","0.390625","0.390625","0.296875","0.296875","0.296875","0.6328125","0.6328125","0.6328125","0.3671875","0.3671875","0.3671875","0.28125","0.28125","0.28125","0.4375","0.4375","0.4375","0.953125","0.953125","0.953125","0.78125","0.78125","0.78125","0.9296875","0.9296875","0.9296875","0.9609375","0.9609375","0.9609375"
"8","0.359375","0.359375","0.359375","0.3515625","0.3515625","0.3515625","0.3203125","0.3203125","0.3203125","0.390625","0.390625","0.390625","0.484375","0.484375","0.484375","0.515625","0.515625","0.515625","0.5","0.5","0.5","0.5390625","0.5390625","0.5390625","0.953125","0.953125","0.953125","0.7265625","0.7265625","0.7265625","0.9765625","0.9765625","0.9765625","0.9375","0.9375","0.9375"
"9","0.390625","0.390625","0.390625","0.3046875","0.3046875","0.3046875","0.3359375","0.3359375","0.3359375","0.375","0.375","0.375","0.8203125","0.8203125","0.8203125","0.6328125","0.6328125","0.6328125","0.703125","0.703125","0.703125","0.5390625","0.5390625","0.5390625","0.9375","0.9375","0.9375","0.796875","0.796875","0.796875","0.984375","0.984375","0.984375","0.90625","0.90625","0.90625"
"10","0.3046875","0.3046875","0.3046875","0.375","0.375","0.375","0.4140625","0.4140625","0.4140625","0.4609375","0.4609375","0.4609375","0.8046875","0.8046875","0.8046875","0.6015625","0.6015625","0.6015625","0.828125","0.828125","0.828125","0.4609375","0.4609375","0.4609375","0.953125","0.953125","0.953125","0.8828125","0.8828125","0.8828125","0.984375","0.984375","0.984375","0.953125","0.953125","0.953125"
