"Step","w1-baseline-fast - metrics/reasoning_reward","w1-baseline-fast - metrics/reasoning_reward__MIN","w1-baseline-fast - metrics/reasoning_reward__MAX","w1-alpha64-baseline - metrics/reasoning_reward","w1-alpha64-baseline - metrics/reasoning_reward__MIN","w1-alpha64-baseline - metrics/reasoning_reward__MAX","w1-alpha32-baseline - metrics/reasoning_reward","w1-alpha32-baseline - metrics/reasoning_reward__MIN","w1-alpha32-baseline - metrics/reasoning_reward__MAX","w1-alpha128-baseline - metrics/reasoning_reward","w1-alpha128-baseline - metrics/reasoning_reward__MIN","w1-alpha128-baseline - metrics/reasoning_reward__MAX","w1-alpha64-lr1e-5 - metrics/reasoning_reward","w1-alpha64-lr1e-5 - metrics/reasoning_reward__MIN","w1-alpha64-lr1e-5 - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6 - metrics/reasoning_reward","w1-alpha64-lr3e-6 - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6 - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/reasoning_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/reasoning_reward__MAX","w1-alpha64-lr5e-6 - metrics/reasoning_reward","w1-alpha64-lr5e-6 - metrics/reasoning_reward__MIN","w1-alpha64-lr5e-6 - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/reasoning_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/reasoning_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/reasoning_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/reasoning_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/reasoning_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/reasoning_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/reasoning_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/reasoning_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/reasoning_reward__MAX"
"1","0.675390625","0.675390625","0.675390625","0.666796875","0.666796875","0.666796875","0.6515625","0.6515625","0.6515625","0.668359375","0.668359375","0.668359375","0.6431640625","0.6431640625","0.6431640625","0.6218750000000001","0.6218750000000001","0.6218750000000001","0.683984375","0.683984375","0.683984375","0.6458984375000001","0.6458984375000001","0.6458984375000001","0.8656250000000002","0.8656250000000002","0.8656250000000002","0.8140625","0.8140625","0.8140625","0.8730468750000002","0.8730468750000002","0.8730468750000002","0.8707031250000001","0.8707031250000001","0.8707031250000001"
"2","0.6275390625","0.6275390625","0.6275390625","0.6275390625","0.6275390625","0.6275390625","0.688671875","0.688671875","0.688671875","0.7125","0.7125","0.7125","0.6498046875","0.6498046875","0.6498046875","0.70546875","0.70546875","0.70546875","0.675390625","0.675390625","0.675390625","0.6484375","0.6484375","0.6484375","0.8605468750000002","0.8605468750000002","0.8605468750000002","0.7580078125","0.7580078125","0.7580078125","0.8716796875000001","0.8716796875000001","0.8716796875000001","0.8519531250000001","0.8519531250000001","0.8519531250000001"
"3","0.6533203125","0.6533203125","0.6533203125","0.6451171874999999","0.6451171874999999","0.6451171874999999","0.7177734375","0.7177734375","0.7177734375","0.690625","0.690625","0.690625","0.6166015625","0.6166015625","0.6166015625","0.691015625","0.691015625","0.691015625","0.710546875","0.710546875","0.710546875","0.6826171875","0.6826171875","0.6826171875","0.8763671875000001","0.8763671875000001","0.8763671875000001","0.8347656250000001","0.8347656250000001","0.8347656250000001","0.8705078125000001","0.8705078125000001","0.8705078125000001","0.8640625000000002","0.8640625000000002","0.8640625000000002"
"4","0.6533203125","0.6533203125","0.6533203125","0.6494140625","0.6494140625","0.6494140625","0.6662109375","0.6662109375","0.6662109375","0.704296875","0.704296875","0.704296875","0.7371093750000001","0.7371093750000001","0.7371093750000001","0.6921875","0.6921875","0.6921875","0.596875","0.596875","0.596875","0.6531250000000001","0.6531250000000001","0.6531250000000001","0.8539062500000002","0.8539062500000002","0.8539062500000002","0.8390625000000002","0.8390625000000002","0.8390625000000002","0.8593750000000002","0.8593750000000002","0.8593750000000002","0.8685546875000001","0.8685546875000001","0.8685546875000001"
"5","0.6871093749999999","0.6871093749999999","0.6871093749999999","0.6947265625","0.6947265625","0.6947265625","0.6154296875","0.6154296875","0.6154296875","0.6517578125","0.6517578125","0.6517578125","0.705078125","0.705078125","0.705078125","0.6771484375000001","0.6771484375000001","0.6771484375000001","0.57109375","0.57109375","0.57109375","0.7216796875","0.7216796875","0.7216796875","0.8818359375000002","0.8818359375000002","0.8818359375000002","0.8351562500000002","0.8351562500000002","0.8351562500000002","0.8751953125000002","0.8751953125000002","0.8751953125000002","0.8496093750000001","0.8496093750000001","0.8496093750000001"
"6","0.6787109375","0.6787109375","0.6787109375","0.6658203125000001","0.6658203125000001","0.6658203125000001","0.6125","0.6125","0.6125","0.673046875","0.673046875","0.673046875","0.6980468750000001","0.6980468750000001","0.6980468750000001","0.6462890625","0.6462890625","0.6462890625","0.69453125","0.69453125","0.69453125","0.6742187500000001","0.6742187500000001","0.6742187500000001","0.8611328125000002","0.8611328125000002","0.8611328125000002","0.81953125","0.81953125","0.81953125","0.8773437500000001","0.8773437500000001","0.8773437500000001","0.8640625000000002","0.8640625000000002","0.8640625000000002"
"7","0.6765625000000001","0.6765625000000001","0.6765625000000001","0.6781250000000001","0.6781250000000001","0.6781250000000001","0.6982421875","0.6982421875","0.6982421875","0.6884765625","0.6884765625","0.6884765625","0.7625","0.7625","0.7625","0.6759765625","0.6759765625","0.6759765625","0.733203125","0.733203125","0.733203125","0.72578125","0.72578125","0.72578125","0.8656250000000001","0.8656250000000001","0.8656250000000001","0.8033203125000001","0.8033203125000001","0.8033203125000001","0.8773437500000001","0.8773437500000001","0.8773437500000001","0.8675781250000001","0.8675781250000001","0.8675781250000001"
"8","0.6916015625","0.6916015625","0.6916015625","0.671875","0.671875","0.671875","0.6857421875","0.6857421875","0.6857421875","0.730859375","0.730859375","0.730859375","0.6392578124999999","0.6392578124999999","0.6392578124999999","0.694140625","0.694140625","0.694140625","0.69140625","0.69140625","0.69140625","0.769140625","0.769140625","0.769140625","0.8789062500000002","0.8789062500000002","0.8789062500000002","0.8011718750000001","0.8011718750000001","0.8011718750000001","0.8810546875000002","0.8810546875000002","0.8810546875000002","0.8734375000000002","0.8734375000000002","0.8734375000000002"
"9","0.6771484375","0.6771484375","0.6771484375","0.642578125","0.642578125","0.642578125","0.6763671875","0.6763671875","0.6763671875","0.6921875","0.6921875","0.6921875","0.7369140625","0.7369140625","0.7369140625","0.7412109375","0.7412109375","0.7412109375","0.7320312499999999","0.7320312499999999","0.7320312499999999","0.7183593750000001","0.7183593750000001","0.7183593750000001","0.8525390625000002","0.8525390625000002","0.8525390625000002","0.8132812500000002","0.8132812500000002","0.8132812500000002","0.8939453125000002","0.8939453125000002","0.8939453125000002","0.8554687500000002","0.8554687500000002","0.8554687500000002"
"10","0.6724609374999999","0.6724609374999999","0.6724609374999999","0.6585937500000001","0.6585937500000001","0.6585937500000001","0.7390625000000001","0.7390625000000001","0.7390625000000001","0.6798828125","0.6798828125","0.6798828125","0.7068359375","0.7068359375","0.7068359375","0.6736328125","0.6736328125","0.6736328125","0.759765625","0.759765625","0.759765625","0.7085937499999999","0.7085937499999999","0.7085937499999999","0.8798828125000001","0.8798828125000001","0.8798828125000001","0.8441406250000002","0.8441406250000002","0.8441406250000002","0.8929687500000002","0.8929687500000002","0.8929687500000002","0.8748046875000002","0.8748046875000002","0.8748046875000002"
"11","0.658203125","0.658203125","0.658203125","0.6974609375","0.6974609375","0.6974609375","0.7365234375","0.7365234375","0.7365234375","0.7083984375000001","0.7083984375000001","0.7083984375000001","0.69296875","0.69296875","0.69296875","0.708984375","0.708984375","0.708984375","0.7699218750000001","0.7699218750000001","0.7699218750000001","0.77578125","0.77578125","0.77578125","0.8593750000000002","0.8593750000000002","0.8593750000000002","0.8232421875000001","0.8232421875000001","0.8232421875000001","0.8783203125000002","0.8783203125000002","0.8783203125000002","0.8693359375000002","0.8693359375000002","0.8693359375000002"
"12","0.6689453125","0.6689453125","0.6689453125","0.67265625","0.67265625","0.67265625","0.6763671875","0.6763671875","0.6763671875","0.73203125","0.73203125","0.73203125","0.7400390625","0.7400390625","0.7400390625","0.752734375","0.752734375","0.752734375","0.8230468750000001","0.8230468750000001","0.8230468750000001","0.7195312500000001","0.7195312500000001","0.7195312500000001","0.8791015625000003","0.8791015625000003","0.8791015625000003","0.8240234375000002","0.8240234375000002","0.8240234375000002","0.8863281250000002","0.8863281250000002","0.8863281250000002","0.8761718750000002","0.8761718750000002","0.8761718750000002"
"13","0.6937500000000001","0.6937500000000001","0.6937500000000001","0.6623046875","0.6623046875","0.6623046875","0.6791015625000001","0.6791015625000001","0.6791015625000001","0.698828125","0.698828125","0.698828125","0.675","0.675","0.675","0.7736328125","0.7736328125","0.7736328125","0.5921875","0.5921875","0.5921875","0.7123046875000001","0.7123046875000001","0.7123046875000001","0.8642578125000001","0.8642578125000001","0.8642578125000001","0.8298828125000002","0.8298828125000002","0.8298828125000002","0.8722656250000002","0.8722656250000002","0.8722656250000002","0.8791015625000002","0.8791015625000002","0.8791015625000002"
"14","0.6634765625000001","0.6634765625000001","0.6634765625000001","0.7275390625","0.7275390625","0.7275390625","0.6447265625","0.6447265625","0.6447265625","0.6927734375","0.6927734375","0.6927734375","0.6806640625","0.6806640625","0.6806640625","0.752734375","0.752734375","0.752734375","0.66015625","0.66015625","0.66015625","0.70078125","0.70078125","0.70078125","0.8802734375000001","0.8802734375000001","0.8802734375000001","0.7587890625","0.7587890625","0.7587890625","0.8857421875000002","0.8857421875000002","0.8857421875000002","0.8705078125000001","0.8705078125000001","0.8705078125000001"
"15","0.6890625","0.6890625","0.6890625","0.73828125","0.73828125","0.73828125","0.7212890625000001","0.7212890625000001","0.7212890625000001","0.7312500000000001","0.7312500000000001","0.7312500000000001","0.6349609375","0.6349609375","0.6349609375","0.728515625","0.728515625","0.728515625","0.6328125","0.6328125","0.6328125","0.761328125","0.761328125","0.761328125","0.8695312500000001","0.8695312500000001","0.8695312500000001","0.8212890625000001","0.8212890625000001","0.8212890625000001","0.8841796875000002","0.8841796875000002","0.8841796875000002","0.8640625000000002","0.8640625000000002","0.8640625000000002"
"16","0.6373046874999999","0.6373046874999999","0.6373046874999999","0.6806640625","0.6806640625","0.6806640625","0.6806640625","0.6806640625","0.6806640625","0.7298828125","0.7298828125","0.7298828125","0.692578125","0.692578125","0.692578125","0.7007812500000001","0.7007812500000001","0.7007812500000001","0.7656249999999999","0.7656249999999999","0.7656249999999999","0.6855468749999999","0.6855468749999999","0.6855468749999999","0.8640625000000002","0.8640625000000002","0.8640625000000002","0.8015625000000001","0.8015625000000001","0.8015625000000001","0.8824218750000002","0.8824218750000002","0.8824218750000002","0.8732421875000002","0.8732421875000002","0.8732421875000002"
"17","0.75","0.75","0.75","0.6869140624999999","0.6869140624999999","0.6869140624999999","0.675","0.675","0.675","0.715234375","0.715234375","0.715234375","0.6833984375","0.6833984375","0.6833984375","0.6957031250000001","0.6957031250000001","0.6957031250000001","0.698046875","0.698046875","0.698046875","0.7212890625","0.7212890625","0.7212890625","0.8712890625000002","0.8712890625000002","0.8712890625000002","0.7625000000000001","0.7625000000000001","0.7625000000000001","0.8812500000000002","0.8812500000000002","0.8812500000000002","0.8552734375000002","0.8552734375000002","0.8552734375000002"
